Date,Close/Last,Volume,Open,High,Low
05/12/2020,2402,N/A,2402,2402,2402
05/11/2020,2463,N/A,2463,2463,2463
05/08/2020,2400,N/A,2400,2400,2400
05/07/2020,2381,N/A,2381,2381,2381
05/06/2020,2363,N/A,2363,2363,2363
05/05/2020,2378,N/A,2378,2378,2378
05/04/2020,2387,N/A,2387,2387,2387
05/01/2020,2402,N/A,2402,2402,2402
04/30/2020,2414,N/A,2414,2414,2414
04/29/2020,2377,N/A,2377,2377,2377
04/28/2020,2342,N/A,2342,2342,2342
04/27/2020,2330,N/A,2330,2330,2330
04/24/2020,2323,N/A,2323,2323,2323
04/23/2020,2363,N/A,2363,2363,2363
04/22/2020,2375,N/A,2375,2375,2375
04/21/2020,2318,N/A,2318,2318,2318
04/20/2020,2358,N/A,2358,2358,2358
04/17/2020,2368,N/A,2368,2368,2368
04/16/2020,2235,N/A,2235,2235,2235
04/15/2020,2205,N/A,2205,2205,2205
04/14/2020,2265,N/A,2265,2265,2265
04/13/2020,2253,N/A,2253,2253,2253
04/09/2020,2305,N/A,2305,2305,2305
04/08/2020,2379,N/A,2379,2379,2379
04/07/2020,2410,N/A,2410,2410,2410
04/06/2020,2366,N/A,2366,2366,2366
04/03/2020,2264,N/A,2264,2264,2264
04/02/2020,2285,N/A,2285,2285,2285
04/01/2020,2227,N/A,2227,2227,2227
03/31/2020,2249,N/A,2249,2249,2249
03/30/2020,2265,N/A,2265,2265,2265
03/27/2020,2257,N/A,2257,2257,2257
03/26/2020,2255,N/A,2255,2255,2255
03/25/2020,2248,N/A,2248,2248,2248
03/24/2020,2275,N/A,2275,2275,2275
03/23/2020,2257,N/A,2257,2257,2257
03/20/2020,2230,N/A,2230,2230,2230
03/19/2020,2216,N/A,2216,2216,2216
03/18/2020,2284,N/A,2284,2284,2284
03/17/2020,2318,N/A,2318,2318,2318
03/16/2020,2331,N/A,2331,2331,2331
03/13/2020,2425,N/A,2425,2425,2425
03/12/2020,2495,N/A,2495,2495,2495
03/11/2020,2625,N/A,2625,2625,2625
03/10/2020,2577,N/A,2577,2577,2577
03/09/2020,2545,N/A,2545,2545,2545
03/06/2020,2561,N/A,2561,2561,2561
03/05/2020,2597,N/A,2597,2597,2597
03/04/2020,2626,N/A,2626,2626,2626
03/03/2020,2653,N/A,2653,2653,2653
03/02/2020,2661,N/A,2661,2661,2661
02/28/2020,2672,N/A,2672,2672,2672
02/27/2020,2745,N/A,2745,2745,2745
02/26/2020,2739,N/A,2739,2739,2739
02/25/2020,2806,N/A,2806,2806,2806
02/24/2020,2801,N/A,2801,2801,2801
02/21/2020,2843,N/A,2843,2843,2843
02/20/2020,2860,N/A,2860,2860,2860
02/19/2020,2847,N/A,2847,2847,2847
02/18/2020,2846,N/A,2846,2846,2846
02/14/2020,2886,N/A,2886,2886,2886
02/13/2020,2988,N/A,2988,2988,2988
02/12/2020,2904,N/A,2904,2904,2904
02/11/2020,2918,N/A,2918,2918,2918
02/10/2020,2940,N/A,2940,2940,2940
02/07/2020,2900,N/A,2900,2900,2900
02/06/2020,2849,N/A,2849,2849,2849
02/05/2020,2790,N/A,2790,2790,2790
02/04/2020,2757,N/A,2757,2757,2757
02/03/2020,2734,N/A,2734,2734,2734
01/31/2020,2801,N/A,2801,2801,2801
01/30/2020,2801,N/A,2801,2801,2801
01/29/2020,2727,N/A,2727,2727,2727
01/28/2020,2703,N/A,2703,2703,2703
01/27/2020,2734,N/A,2734,2734,2734
