,lost
482,7.412000000000001
483,4.356
484,13.187
485,0.771
486,0.411
487,3.229
488,0.289
489,3.724
490,5.277
491,3.923
492,6.4430000000000005
493,2.508
494,6.155
495,2.608
496,1.8799999999999997
497,8.227
498,8.947
499,0.187
500,13.563
501,2.181
502,5.872
503,5.034
504,3.36
505,7.789
506,4.243
507,1.349
508,7.953
509,1.098
510,4.471
511,3.6070000000000007
512,2.389
513,8.281
514,5.158
515,0.206
516,14.49
517,7.056
518,3.636
519,1.365
520,2.412
521,5.637
522,2.933
523,1.653
524,6.046
525,10.715
526,3.71
527,2.629
528,5.247
529,2.651
530,3.3259999999999996
531,3.108
532,3.343
533,0.645
534,3.3970000000000002
535,0.914
536,6.912999999999999
537,2.37
538,5.573
539,2.527
540,5.86
541,6.077
542,1.358
543,6.547
544,2.504
545,6.042
546,0.667
547,2.834
548,3.3390000000000004
549,0.938
550,7.01
551,1.672
552,2.533
553,2.866
554,6.175
555,5.476
556,6.847
557,1.105
558,3.49
559,0.357
560,5.818
561,9.509
562,0.366
563,2.466
564,6.4079999999999995
565,4.643
566,0.121
567,0.728
568,5.567
569,8.018
570,5.626
571,2.901
572,4.232
573,4.598
574,5.037
575,2.215
576,0.13
577,3.5699999999999994
578,2.748
579,0.262
580,8.344
581,5.053
582,3.232
583,1.879
584,8.2
585,2.947
586,4.423
587,0.736
588,3.9859999999999998
589,5.884
590,13.312
591,1.546
592,1.556
593,4.352
594,0.132
595,5.788
596,7.058000000000001
597,2.338
598,10.697
599,2.841
600,2.459
601,7.741
602,0.249
603,2.243
604,4.865
605,7.317
606,1.361
607,16.615
608,4.565
609,0.8699999999999999
610,3.681
611,2.478
612,3.2520000000000002
613,8.133
614,0.645
615,12.019
616,3.7000000000000006
617,8.353
618,3.1300000000000003
619,4.996
